CP,S Ref Latitude,S Ref Longitude,bicycle_aadf,motorbike_aadf,car_aadf,bus_aadf,light_goods_vehicle_aadf,heavy_goods_vehicle_aadf
20756,55.607057250000004,-4.471639862,4.2,159.6,32203.2,93.4,5329.6,3265.0
20758,55.337821559999995,-4.746597648,1.0,39.4,4521.0,57.6,1380.0,766.6
20761,55.666268756,-4.8393056916,57.0,115.4,10555.0,123.8,1743.8,463.0
20762,55.62310044000001,-4.650244244,6.0,144.8,23561.8,153.0,3523.8,1642.4
20763,55.524681290000004,-4.599568675,2.2,142.8,19811.4,153.0,2733.8,940.0
20765,57.41434336,-4.332420081,8.8,28.6,3494.0,137.8,927.2,380.0
20768,56.41033935,-4.656438087,23.0,372.2,4493.0,122.2,711.4,410.2
20769,55.98576928,-4.5876311030000005,7.6,244.2,18154.0,200.4,3004.2,899.4
20770,55.92397844,-4.4309558319999995,22.8,86.6,29973.8,109.6,4803.8,682.8
20772,56.036927119999994,-5.436785515,57.8,78.0,5421.2,91.8,1059.0,357.8
20774,56.42570942,-4.339635726,12.2,20.8,2140.0,57.6,683.4,321.8
20777,56.341803549999995,-2.810430531,0.0,80.6,10891.6,263.4,1909.8,712.0
20778,56.3186911,-3.02011849,21.0,35.0,8768.4,105.4,1034.0,367.4
20779,56.28975525,-3.2374496219999997,4.2,22.2,4128.6,66.2,1244.4,372.4
20784,57.20914620999999,-2.326097138,2.8,123.2,16253.2,101.8,2551.2,969.4
20785,57.39815661,-2.612308002,0.2,62.4,6155.0,69.6,1315.4,582.4
20787,57.62490398999999,-3.130144208,27.6,132.4,10735.8,171.2,2187.6,1046.0
20790,57.667573649999994,-2.504533661,4.4,28.4,6391.4,189.2,1325.6,276.0
20792,57.649301179999995,-3.0069149139999998,0.0,22.8,6111.4,73.4,1230.8,549.0
20793,55.89385381999999,-3.201948725,96.4,115.0,17290.6,209.8,2826.2,975.8
20795,55.699972460000005,-3.433555097,2.0,23.6,3117.2,52.4,686.8,477.2
20799,57.59870766,-4.511588386000001,0.0,28.2,2489.4,89.0,548.2,90.4
